DAO,Proposal,votes_voter,votes_choice,votes_vp,votes_created,proposals_title,proposal_date,usd_value,proposal_date_2,cumulative_vp,cumulative_usd_value,total_vp,total_usd_value,percentage_of_total_vp,cum_percentage_of_total_vp,cum_percentage_of_total_vp_stepped,proposal_voter_rank,total_voters,percentage_voters_counted,percentage_voters_counted_stepped
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x89D37A5d65668cc5D1608cc7dE4e8302253a454C,1,32.360291073971965,1649913023,Close STORM to STMX Swap Proposal,2022-04-12,0.5599563945227841,2022-04-14 05:10:23,17044.596292299135,294.93649065501944,18066.756311230216,312.62375550432574,0.0017911349557643353,0.9434231057626999,1.0,42,42,0.4117647058823529,41.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x22f02DCd96dF23EE9b7294553D2c0c622A82115f,1,31.431574646509464,1649864241,Close STORM to STMX Swap Proposal,2022-04-12,0.5438860600172252,2022-04-13 15:37:21,17076.027866945646,295.48037671503664,18066.756311230216,312.62375550432574,0.001739769898936483,0.9451628756616363,1.0,43,43,0.4215686274509804,42.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x69a2A0dbeA51cec20fFb28EDb468251d4efdDd50,1,31.40656894388145,1650145171,Close STORM to STMX Swap Proposal,2022-04-12,0.5434533660388526,2022-04-16 21:39:31,17107.43443588953,296.0238300810755,18066.756311230216,312.62375550432574,0.0017383861420176292,0.9469012064533773,1.0,44,44,0.43137254901960786,43.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x82d36fBdc388D88632c7f76f3A6Ee22a023cA680,2,31.3614301968978,1649857257,Close STORM to STMX Swap Proposal,2022-04-12,0.5426722936450208,2022-04-13 13:40:57,17138.795866086428,296.5665023747205,18066.756311230216,312.62375550432574,0.0017358400292869383,0.9486371018329408,1.0,45,45,0.4411764705882353,44.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x90291b8997679A9BCc5343f2a67B0abB2a0CA9D3,1,30.646616744826073,1649875480,Close STORM to STMX Swap Proposal,2022-04-12,0.5303032960218688,2022-04-13 18:44:40,17169.442482831255,297.0968056707424,18066.756311230216,312.62375550432574,0.001696319931684474,0.9503333664143486,1.0,46,46,0.45098039215686275,45.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xc154c66cF2BC6931BaFE0034fDD2fE2e92E27a2C,1,30.542103640678032,1650340791,Close STORM to STMX Swap Proposal,2022-04-12,0.5284948209112665,2022-04-19 03:59:51,17199.984586471932,297.62530049165366,18066.756311230216,312.62375550432574,0.0016905081526252886,0.9520239299172507,1.0,47,47,0.46078431372549017,46.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x73620De21cA2fA1bEB74Ee07e89dFba17cf0FBCe,1,30.321260128588474,1649857926,Close STORM to STMX Swap Proposal,2022-04-12,0.5246733862863202,2022-04-13 13:52:06,17230.30584660052,298.14997387794,18066.756311230216,312.62375550432574,0.001678275741462621,0.9537022056587133,1.0,48,48,0.47058823529411764,47.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xed9bf5c7B7A2a2580814d7871e323C3328B866aF,2,29.155149957665863,1649880039,Close STORM to STMX Swap Proposal,2022-04-12,0.5044952350628483,2022-04-13 20:00:39,17259.460996558188,298.65446911300285,18066.756311230216,312.62375550432574,0.0016137373187672807,0.9553159429774806,1.0,49,49,0.4803921568627451,48.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x6CD02b08CeAC041f168486E87412CE11aFBE975e,1,29.12245588731966,1649873888,Close STORM to STMX Swap Proposal,2022-04-12,0.5039295030145338,2022-04-13 18:18:08,17288.583452445506,299.1583986160174,18066.756311230216,312.62375550432574,0.0016119107596343936,0.956927853737115,1.0,50,50,0.49019607843137253,49.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xE05b068d2B356B6866B2A40447C44F0Ed887ce5D,1,29.056679206189582,1650362846,Close STORM to STMX Swap Proposal,2022-04-12,0.5027913156871986,2022-04-19 10:07:26,17317.640131651697,299.6611899317046,18066.756311230216,312.62375550432574,0.0016083129916453737,0.9585361667287603,1.0,51,51,0.5,50.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xDC2538402a44E2b43B98202dd728cFCa921B6817,1,29.045744222410868,1649870905,Close STORM to STMX Swap Proposal,2022-04-12,0.5026020987831572,2022-04-13 17:28:25,17346.685875874107,300.16379203048774,18066.756311230216,312.62375550432574,0.001607704138601078,0.9601438708673615,1.0,52,52,0.5098039215686274,51.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x1823F67C730ea178073e74845A4C5e3CADeD3054,1,28.88788213959295,1649854440,Close STORM to STMX Swap Proposal,2022-04-12,0.4998704829727643,2022-04-13 12:54:00,17375.5737580137,300.6636625134605,18066.756311230216,312.62375550432574,0.0015989587948739223,0.9617428296622355,1.0,53,53,0.5196078431372549,52.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xdC746Ee58c5BB74fA16107D52a748Ba17E60a4E4,1,28.74316274045226,1650119930,Close STORM to STMX Swap Proposal,2022-04-12,0.4973662856905123,2022-04-16 14:38:50,17404.31692075415,301.16102879915104,18066.756311230216,312.62375550432574,0.00159093300474457,0.9633337626669799,1.0,54,54,0.5294117647058824,53.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x0E173EE940CEe1b20796B09fd9735DcdB8f8c4dF,2,26.218450941409984,1649864369,Close STORM to STMX Swap Proposal,2022-04-12,0.4536791472476219,2022-04-13 15:39:29,17430.53537169556,301.61470794639865,18066.756311230216,312.62375550432574,0.0014511735559403383,0.9647849362229203,1.0,55,55,0.5392156862745098,54.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x3e10Fc94610d929B47f3EdA36f7CCbe73c3F6d5a,1,26.101262431175645,1649884636,Close STORM to STMX Swap Proposal,2022-04-12,0.45165133929248585,2022-04-13 21:17:16,17456.63663412674,302.06635928569114,18066.756311230216,312.62375550432574,0.0014446975735601026,0.9662296891467571,1.0,56,56,0.5490196078431373,55.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x7c58407f706978dAD15B3B788f28c1a2B472251E,1,25.91765242549456,1649905706,Close STORM to STMX Swap Proposal,2022-04-12,0.44847418626427393,2022-04-14 03:08:26,17482.554286552233,302.5148334719554,18066.756311230216,312.62375550432574,0.0014345684729140929,0.9676642022693945,1.0,57,57,0.5588235294117647,56.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x58cBE7ee306526014C8DF44F49FDF954d956e3D1,2,25.453400198970282,1649949317,Close STORM to STMX Swap Proposal,2022-04-12,0.4404408529942033,2022-04-14 15:15:17,17508.007686751203,302.9552743249496,18066.756311230216,312.62375550432574,0.0014088305942234125,0.9690730882138947,1.0,58,58,0.5686274509803921,57.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x7FDCd2E33E371ec87B95bbFfc2554E0b2009E446,1,24.30962612741899,1649877896,Close STORM to STMX Swap Proposal,2022-04-12,0.42064920143611073,2022-04-13 19:24:56,17532.317312878622,303.3759235263857,18066.756311230216,312.62375550432574,0.0013455652278934176,0.9704185980915112,1.0,59,59,0.5784313725490197,58.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x7F0d3dB00e9D2df027D240DFc4536122a17774e7,2,23.937850280119044,1650322351,Close STORM to STMX Swap Proposal,2022-04-12,0.4142160620509037,2022-04-18 22:52:31,17556.25516315874,303.7901395884366,18066.756311230216,312.62375550432574,0.0013249749249408733,0.9717435730164522,1.0,60,60,0.5882352941176471,59.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xD42eA371c1A6e4ce01540D67959564911BE3AAaC,1,23.753591838588626,1649922498,Close STORM to STMX Swap Proposal,2022-04-12,0.4110276886106306,2022-04-14 07:48:18,17580.00875499733,304.20116727704726,18066.756311230216,312.62375550432574,0.0013147904740181096,0.9730583634904701,1.0,61,61,0.5980392156862745,60.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xFCdDcF96B7a0789DbCd48593D864642A711ED49e,1,23.725622164022703,1649878368,Close STORM to STMX Swap Proposal,2022-04-12,0.4105437066189325,2022-04-13 19:32:48,17603.734377161352,304.61171098366617,18066.756311230216,312.62375550432574,0.0013132406662689931,0.9743715488064626,1.0,62,62,0.6078431372549019,61.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xB6A7D1c0655Cf03997433f069f80ffb3Ad3d19C1,1,21.29763631236367,1649912058,Close STORM to STMX Swap Proposal,2022-04-12,0.36853029578960755,2022-04-14 04:54:18,17625.032013473716,304.98024127945575,18066.756311230216,312.62375550432574,0.0011788501943099138,0.9755503990007725,1.0,63,63,0.6176470588235294,62.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x014D2BE76ACf9641d237d937c97bCe17b1253c23,1,20.450720512644295,1649864221,Close STORM to STMX Swap Proposal,2022-04-12,0.3538754239718235,2022-04-13 15:37:01,17645.48273398636,305.3341167034276,18066.756311230216,312.62375550432574,0.0011319685098991478,0.9766823675106716,1.0,64,64,0.6274509803921569,63.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x633312037D26427BeE53fe9ba96872491E508b59,1,20.330605484091286,1649862332,Close STORM to STMX Swap Proposal,2022-04-12,0.35179697609374977,2022-04-13 15:05:32,17665.81333947045,305.6859136795213,18066.756311230216,312.62375550432574,0.0011253264766886496,0.9778076386370834,1.0,65,65,0.6372549019607843,64.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x578A3a37167B9bb6a06C6E552aE08386F91A365b,1,20.29099095707346,1649917041,Close STORM to STMX Swap Proposal,2022-04-12,0.3511114937639116,2022-04-14 06:17:21,17686.104330427523,306.03702517328526,18066.756311230216,312.62375550432574,0.0011231124656184836,0.9789307511027019,1.0,66,66,0.6470588235294118,65.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xa6F5caDAd54E71AB95471B6de5E18Be092Bb378f,1,19.913753156984267,1649880925,Close STORM to STMX Swap Proposal,2022-04-12,0.3445838417742312,2022-04-13 20:15:25,17706.01808358451,306.3816090150595,18066.756311230216,312.62375550432574,0.0011022454112821687,0.9800329965139841,1.0,67,67,0.6568627450980392,66.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x936305a2C839AF937615B7DA2a8d0bA56C412d19,1,19.789997214208167,1650380909,Close STORM to STMX Swap Proposal,2022-04-12,0.34244239220076267,2022-04-19 15:08:29,17725.808080798717,306.7240514072602,18066.756311230216,312.62375550432574,0.0010953819769646538,0.9811283784909488,1.0,68,68,0.6666666666666666,67.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x16b4236B703036C6418f5026B0ccefb4c532591A,2,19.197780919168054,1649863552,Close STORM to STMX Swap Proposal,2022-04-12,0.332194792740354,2022-04-13 15:25:52,17745.005861717884,307.0562462000006,18066.756311230216,312.62375550432574,0.0010626146131261962,0.9821909931040751,1.0,69,69,0.6764705882352942,68.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xF8E3775641b6a1340b1E2b774B7684Cc1048AdDb,1,18.49570948195524,1649879839,Close STORM to STMX Swap Proposal,2022-04-12,0.32004628054741774,2022-04-13 19:57:19,17763.50157119984,307.376292480548,18066.756311230216,312.62375550432574,0.001023758718844782,0.9832147518229198,1.0,70,70,0.6862745098039216,69.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x7129897Ea1bF0d8266547695b755Ee07353F8fc9,1,17.12182779360519,1649877001,Close STORM to STMX Swap Proposal,2022-04-12,0.2962728900377092,2022-04-13 19:10:01,17780.623398993444,307.67256537058574,18066.756311230216,312.62375550432574,0.0009477074385845783,0.9841624039112276,1.0,71,71,0.696078431372549,70.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x34CC02f7116292a855378f86fe594CFaE29bff9c,2,16.357222594447922,1650360492,Close STORM to STMX Swap Proposal,2022-04-12,0.2830423053815086,2022-04-19 09:28:12,17796.980621587893,307.9556076759672,18066.756311230216,312.62375550432574,0.0009053644768676524,0.985067823738372,1.0,72,72,0.7058823529411765,71.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x1db8CF40e8E96421Be96543A49075e0c781b7075,1,15.312155709912032,1649876076,Close STORM to STMX Swap Proposal,2022-04-12,0.26495866443519595,2022-04-13 18:54:36,17812.292777297804,308.2205663404024,18066.756311230216,312.62375550432574,0.0008475234376595644,0.9859153471760317,1.0,73,73,0.7156862745098039,72.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x73743f68E70ebd463Ba70aC8e924F18a2c19512E,1,14.54296836148464,1649883855,Close STORM to STMX Swap Proposal,2022-04-12,0.2516487911292548,2022-04-13 21:04:15,17826.83574565929,308.4722151315317,18066.756311230216,312.62375550432574,0.000804959074835622,0.9867203062508672,1.0,74,74,0.7254901960784313,73.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x165bD5e83ab345dc3448dF500e5ef57779E4c73a,1,14.527265247533027,1650165870,Close STORM to STMX Swap Proposal,2022-04-12,0.2513770673968871,2022-04-17 03:24:30,17841.36301090682,308.72359219892854,18066.756311230216,312.62375550432574,0.0008040734704075556,0.9875243797212748,1.0,75,75,0.7352941176470589,74.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x52d40a7D59bf3fa4D00a629090Da094021CbE1b0,1,14.355715903504676,1649897180,Close STORM to STMX Swap Proposal,2022-04-12,0.24840860979107382,2022-04-14 00:46:20,17855.718726810326,308.97200080871966,18066.756311230216,312.62375550432574,0.0007946085730825957,0.9883189882943574,1.0,76,76,0.7450980392156863,75.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x1bf72ecf304F65B903bbe1c8377777caf34d32aE,1,14.135398742905743,1649927500,Close STORM to STMX Swap Proposal,2022-04-12,0.24459628305339182,2022-04-14 09:11:40,17869.854125553233,309.21659709177305,18066.756311230216,312.62375550432574,0.0007823761619199283,0.9891013644562773,1.0,77,77,0.7549019607843137,75.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x21c3BfFD4C6eA3A3B17Ef0AcDA03d3013b9685c3,1,13.428321573189862,1649863775,Close STORM to STMX Swap Proposal,2022-04-12,0.23236115260606602,2022-04-13 15:29:35,17883.28244712642,309.44895824437907,18066.756311230216,312.62375550432574,0.0007432435162547435,0.9898446079725319,1.0,78,78,0.7647058823529411,76.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x4dE306f8140F02C623434d1F4a1BcE4D6e3139f6,2,12.551407391229901,1649855931,Close STORM to STMX Swap Proposal,2022-04-12,0.21718719442028367,2022-04-13 13:18:51,17895.833854517652,309.6661454387994,18066.756311230216,312.62375550432574,0.0006947013235413527,0.9905393646463501,1.0,79,79,0.7745098039215687,77.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xFA1cEa4Ad0D46da10B9D231397d1FD589C592C38,1,12.51247436872862,1649865452,Close STORM to STMX Swap Proposal,2022-04-12,0.21651350471650882,2022-04-13 15:57:32,17908.346328886382,309.8826589435159,18066.756311230216,312.62375550432574,0.0006925426627479408,0.9912319073090982,1.0,80,80,0.7843137254901961,78.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xf20A0C27ED8Adf6C9Fc60C1FE71e27D997966D33,1,11.818298710290989,1649917873,Close STORM to STMX Swap Proposal,2022-04-12,0.20450161959546118,2022-04-14 06:31:13,17920.16462759667,310.08716056311135,18066.756311230216,312.62375550432574,0.0006541295706805598,0.9918860922300554,1.0,81,81,0.7941176470588235,79.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xDf0436bA83A5AB9A02eF5Add85595BEAF5De1562,1,11.638224938819802,1649883836,Close STORM to STMX Swap Proposal,2022-04-12,0.20138565689937069,2022-04-13 21:03:56,17931.802852535493,310.28854622001074,18066.756311230216,312.62375550432574,0.0006441665208648126,0.9925302587509202,1.0,82,82,0.803921568627451,80.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xB787133633C58414E8aC361dAc2162Dcb5Af3b60,1,11.526967161693143,1649867357,Close STORM to STMX Swap Proposal,2022-04-12,0.19946047323522956,2022-04-13 16:29:17,17943.329819697185,310.48800669324595,18066.756311230216,312.62375550432574,0.0006380226401451018,0.9931682813910654,1.0,83,83,0.8137254901960784,81.0
